9509,4,490,10/10/17,15:00:00,15:30:00,US Chorus
9070,7,400,10/11/17,9:05:00,12:10:00,US Class
9268,3,400,10/11/17,9:05:00,12:10:00,US Class
9415,7,400,10/11/17,16:00:00,17:15:00,Yoga
9424,4,490,10/11/17,12:10:00,13:10:00,1C Play Practice
9462,3,470,10/11/17,15:45:00,16:50:00,Diversity
9470,3,470,10/11/17,8:05:00,9:05:00,PC Meeting
9482,4,384,10/11/17,8:10:00,9:05:00,4A
9510,3,470,10/11/17,12:10:00,13:10:00,Trinity Hall
8509,7,400,10/12/17,15:30:00,16:45:00,ASE-Chess
9093,7,400,10/12/17,9:05:00,12:10:00,US Class
9291,3,400,10/12/17,11:15:00,12:10:00,US Class
9425,4,490,10/12/17,10:20:00,11:15:00,1C Play Practice
9426,4,490,10/12/17,14:00:00,14:50:00,1C Play Practice
9458,4,384,10/12/17,13:10:00,14:00:00,4A
9461,3,470,10/12/17,8:20:00,10:00:00,PR Committee Meeting
9475,3,400,10/12/17,15:45:00,16:45:00,CPR Class
9519,4,400,10/12/17,12:10:00,12:40:00,Mater Dei with 8th gR.
8547,5,400,10/13/17,12:00:00,14:00:00,Grandfriends' lunch
8548,3,400,10/13/17,8:05:00,12:30:00,Development Faculty Breakfast
8575,7,400,10/13/17,12:30:00,14:00:00,7/8 Advisors meeting - PTC prep
9116,7,400,10/13/17,8:50:00,10:10:00,US Class
9314,3,400,10/13/17,8:50:00,10:10:00,US Class
9427,4,490,10/13/17,11:40:00,12:20:00,1C Play Practice
9477,4,0,10/13/17,8:50:00,9:35:00,3D play practice
9483,4,384,10/13/17,8:10:00,8:50:00,4A
9508,4,490,10/13/17,10:00:00,10:35:00,LS and US Choruses
9517,3,400,10/13/17,12:45:00,15:00:00,US Faculty Meeting
8510,7,400,10/16/17,15:30:00,16:45:00,ASE-Chess
8584,4,490,10/16/17,13:10:00,14:00:00,1C Play Practice
9138,7,400,10/16/17,9:05:00,10:00:00,US Class
9160,7,400,10/16/17,11:15:00,12:10:00,US Class
9182,7,400,10/16/17,13:10:00,14:00:00,US Class
9423,4,400,10/16/17,10:20:00,11:00:00,1C Play Practice
9478,4,0,10/16/17,9:00:00,10:00:00,3D play practice
9484,4,384,10/16/17,8:05:00,9:00:00,4A
9527,3,470,10/16/17,15:45:00,16:45:00,Faculty Growth Meeting
9528,3,400,10/16/17,8:10:00,15:30:00,Shayne all day
9532,4,400,10/16/17,11:00:00,11:35:00,LS Assembly
8384,3,400,10/17/17,19:00:00,20:30:00,Horizons BOT Mtg. - LH
8513,7,400,10/17/17,16:00:00,17:15:00,Yoga
9003,4,400,10/17/17,11:15:00,12:10:00,US Assembly
9428,4,445,10/17/17,8:00:00,11:00:00,1C Scenery Set Up
9431,4,490,10/17/17,12:15:00,13:10:00,1C Play Practice
9437,7,400,10/17/17,14:50:00,15:30:00,Student Council
9485,4,384,10/17/17,13:10:00,14:05:00,4A
9518,3,400,10/17/17,8:15:00,9:30:00,Building and Grounds
9513,4,400,10/18/17,8:10:00,10:00:00,Play Set Up
9525,4,400,10/18/17,12:10:00,12:40:00,6th gr. meeting - aurea
